name,price,category,description,image,stock
Wireless Bluetooth Headphones,2999,Electronics,High quality noise canceling over-ear headphones,https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=500,25
Smart AMOLED Watch,4999,Electronics,Fitness tracker with heart rate monitor and GPS,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500,15
Pro Running Shoes,1999,Footwear,Lightweight breathable running shoes for sports,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500,30
Slim Genuine Leather Wallet,799,Accessories,RFID blocking handcrafted leather wallet,https://images.unsplash.com/photo-1627123424574-724758594e93?w=500,40
RGB Ergonomic Gaming Mouse,1299,Electronics,High precision gaming mouse with customizable buttons,https://images.unsplash.com/photo-1615663245857-ac93bb7c39e7?w=500,20
Classic Vintage Denim Jacket,2499,Fashion,Durable cotton denim jacket for modern style,https://images.unsplash.com/photo-1576995853123-5a10305d93c0?w=500,12
Mechanical Gaming Keyboard,3499,Electronics,Tactile RGB mechanical switches for fast typing,https://images.unsplash.com/photo-1587829741301-dc798b83add3?w=500,18
Stainless Steel Water Bottle,599,Accessories,Insulated double-wall leakproof flask,https://images.unsplash.com/photo-1602143407151-7111542de6e8?w=500,50
Urban Casual Backpack,1499,Accessories,Water resistant laptop backpack for college and work,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,22
Polarized Sunglasses,999,Fashion,UV400 protection stylish sunglasses for outdoor,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=500,35
Wireless Bluetooth Speaker,1899,Electronics,Compact portable speaker with deep bass,https://images.unsplash.com/photo-1608043152269-423dbba4e7e1?w=500,16
Leather Formal Shoes,2999,Footwear,Premium Oxford style genuine leather shoes,https://images.unsplash.com/photo-1614252235316-8c857d38b5f4?w=500,10
Minimalist Analog Watch,1799,Accessories,Sleek stainless steel strap wristwatch,https://images.unsplash.com/photo-1524805444758-089113d48a6d?w=500,28
Cotton Hooded Sweatshirt,1299,Fashion,Cozy fleece casual hoodie for winters,https://images.unsplash.com/photo-1556905055-8f358a7a47b2?w=500,24
Noise Canceling Earbuds,2199,Electronics,True wireless stereo earbuds with touch controls,https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=500,19
Canvas Sneakers,1199,Footwear,Comfortable everyday casual low top sneakers,https://images.unsplash.com/photo-1525966222134-fcfa99b8ae77?w=500,32
Duffel Gym Bag,899,Accessories,Spacious sports travel bag with shoe compartment,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500,14
Full HD Webcam 1080p,1999,Electronics,Clear video calling webcam with built-in mic,https://images.unsplash.com/photo-1587826531090-d382c5788733?w=500,8
Printed Casual Shirt,899,Fashion,100 percent breathable cotton summer printed shirt,https://images.unsplash.com/photo-1596755094514-f87e34085b2c?w=500,45
Sports Running Shorts,499,Fashion,Quick dry lightweight athletic shorts,https://images.unsplash.com/photo-1591195853828-11db59a44f6b?w=500,60
Portable Power Bank 20000mAh,1499,Electronics,Fast charging dual USB output power bank,https://images.unsplash.com/photo-1609592424082-84149b5c3983?w=500,27
